Rank,Player,Country,Position,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements
1,Jude Bellingham,ENG,MF,431,110,230,91,323,108,12,79,158,493
2,Rodri,ESP,MF,389,5,115,269,277,112,2,39,232,1459
3,Kylian Mbappe,FRA,FW,358,164,130,64,236,122,23,144,157,534
4,Marc Cucurella,ESP,DF,342,139,109,94,73,269,15,105,145,809
5,Bruno Guimaraes,BRA,MF,339,56,156,127,258,81,5,51,92,459
6,Daniel Munoz,COL,DF,338,135,109,94,53,285,8,38,52,461
7,Neil El Aynaoui,MAR,MF,334,37,99,198,250,84,1,25,154,918
8,Pedri,ESP,MF,330,42,131,157,249,81,5,58,150,900
8,Granit Xhaka,SUI,MF,330,5,129,196,231,99,0,35,110,997
10,Martin Odegaard,NOR,MF,329,29,173,127,212,117,5,99,132,789
11,Elliot Anderson,ENG,MF,328,20,75,233,238,90,2,12,166,836
11,Remo Freuler,SUI,MF,328,43,138,147,228,100,3,34,105,694
13,Azzedine Ounahi,MAR,MF,316,51,144,121,177,139,2,81,126,683
14,Michael Olise,FRA,FW,312,55,172,85,204,108,8,116,206,823
15,Ismael Saibari,MAR,MF,298,151,117,30,182,116,9,67,94,246
16,Luis Diaz,COL,FW,295,148,121,26,130,165,11,116,104,415
17,Rodrigo De Paul,ARG,MF,284,29,144,111,118,166,3,34,89,590
18,Enzo Fernandez,ARG,MF,276,44,104,128,155,121,4,72,125,853
19,Alex Baena,ESP,MF,274,122,112,40,148,126,12,127,89,496
19,Mikel Oyarzabal,ESP,FW,274,142,118,14,224,50,13,111,117,353
21,Arda Guler,TUR,FW,268,40,122,106,157,111,6,46,89,455
22,Lamine Yamal,ESP,FW,266,102,138,26,96,170,27,193,166,599
23,Vinicius Junior,BRA,FW,263,104,130,29,113,150,17,93,111,397
24,Fabian Ruiz,ESP,MF,262,38,116,108,174,88,2,36,77,534
25,Pedro Vite,ECU,MF,261,11,108,142,153,108,1,27,83,640
26,Weston Mckennie,USA,MF,260,94,125,41,139,121,14,84,138,497
26,Gustavo Puerta,COL,DF,260,48,108,104,145,115,3,44,116,643
28,Dani Olmo,ESP,FW,256,76,139,41,206,50,3,73,103,474
29,Achraf Hakimi,MAR,DF,253,79,114,60,102,151,12,92,167,971
30,Bruno Fernandes,POR,MF,251,53,135,63,150,101,5,86,115,640
31,Youri Tielemans,BEL,MF,248,61,87,100,174,74,3,41,125,591
31,Julian Quinones,MEX,FW,248,99,115,34,120,128,6,84,141,355
33,Marawan Attia,EGY,MF,245,8,79,158,140,105,0,22,119,749
34,Jules Kounde,FRA,DF,242,107,53,82,101,141,9,62,70,742
35,Emam Ashour,EGY,MF,241,49,128,64,114,127,5,50,85,471
36,Kevin De Bruyne,BEL,MF,223,76,96,51,126,97,6,61,86,446
37,Julian Alvarez,ARG,FW,221,88,76,57,142,79,2,84,87,354
38,Florian Wirtz,GER,MF,218,71,100,47,96,122,4,117,99,599
39,Joao Neves,POR,MF,214,52,74,88,158,56,2,40,107,558
40,Leandro Trossard,BEL,FW,213,84,95,34,105,108,10,92,95,500
41,Stephen Eustaquio,CAN,MF,212,22,76,114,133,79,1,31,127,618
