Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating,PC1,PC2
Aaron Hickey,SCO,DF,0.0,79.0,0,0,0,0,0,0,0,0.0,0.0,0,42,38,90,1,0,0,1,100,0,0,0,1,16,5,2,4,1,0,0,0,,,,26,2,9,15,1,25,0,2,5,83,2.11,103,30,8361.39,-1.3243189297858935,-0.4514476435601248,-0.3961509590175413,-1.8620364142948604,,0,Balanced Contributors,0.3579591412900937,11.0,,-0.7855966378163408,-0.27130019209357614
Aaron Tshibola,COD,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Aaron Wan Bissaka,COD,DF,0.0,399.0,0,0,0,0,0,0,0,0.0,0.0,0,137,109,80,7,29,2,5,60,0,0,0,12,104,14,1,1,0,0,0,1,,,,141,58,48,35,39,102,5,19,54,287,6.07,460,194,40401.23,-1.3243189297858935,0.9655536328655752,1.302633552427553,4.045113164460723,,3,Complete Midfielders,0.9821133286613136,30.2,,1.061215220701155,-0.9968998165261409
Abbosbek Fayzullaev,UZB,MF,1.0,240.0,0,2,3,33,2,1,1,1.0,1.0,5,36,24,67,9,22,1,2,50,1,100,0,17,137,27,6,4,0,0,0,0,,,,104,45,52,7,64,40,0,30,33,102,6.32,341,141,25301.81,2.3352517900546155,0.6234423821199788,3.296769872634473,1.9256970093241303,,1,Dynamic Attackers,1.1619350334476892,35.7,,1.8733353606584535,0.30997415715228854
Abdallah Alfakhori,JOR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0,-1.8491850714187297,0.31666064731001287
Abdallah Nasib,JOR,DF,0.0,287.0,0,0,0,0,0,0,0,0.0,0.0,0,97,70,72,0,0,0,1,0,0,0,0,12,38,6,1,1,0,0,0,0,,,,29,0,2,27,1,28,0,1,13,190,5.62,269,86,26869.89,-1.3243189297858935,-1.0924122684136752,0.0785315120420271,-0.4830146258957867,,0,Balanced Contributors,0.4358409679252937,13.4,,-0.5573347125632335,-0.25556797884156157
Abdoulaye Seck,SEN,DF,0.0,66.0,1,0,2,0,1,1,1,0.05,0.0,0,30,26,87,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,0,,,,7,0,0,7,3,4,0,2,7,66,1.38,51,16,6142.53,-0.0513522131609698,-1.4359601378443452,-1.302747809600504,-2.5267116421007207,,2,Limited Tournament Impact,0.1991164342539033,6.1,,-1.1612510979436657,0.5151353385643477
Abdukodir Khusanov,UZB,DF,0.0,311.0,0,0,0,0,0,0,0,0.0,0.0,0,98,81,83,0,0,0,1,0,1,100,0,11,23,8,6,0,2,0,0,0,,,,16,2,1,13,7,9,0,1,31,214,5.37,218,93,27912.88,-1.3243189297858935,-0.0283633566763491,-0.1988722780642101,-0.6211419419701145,,0,Balanced Contributors,0.4830338652451711,14.9,,-0.4153266314543678,-0.43237109421348746
Abdul Fatawu,GHA,FW,0.0,163.0,0,0,3,0,1,2,0,0.1,0.0,2,22,18,82,7,14,7,8,50,1,100,0,11,50,5,1,8,1,0,0,0,,,,45,19,23,3,4,41,3,24,38,90,6.21,211,93,16816.62,-0.2363578916243387,1.5832126764774743,1.2919921551569966,0.3373094569872452,,3,Complete Midfielders,0.8515773135474397,26.2,,0.7617565965279781,-0.548679225255246
Abdul Mumin,GHA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Abdulaziz Hatem,QAT,MF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,32,26,81,0,0,0,2,50,0,0,0,1,20,0,1,0,0,0,0,0,,,,31,5,13,13,26,5,2,5,20,65,2.28,86,28,5826.99,-1.3243189297858935,-0.9892118630358588,-1.3480172784555815,-1.5652954073784064,,2,Limited Tournament Impact,0.2393340843440063,7.4,,-1.1386600887005074,-0.08097821750544357
Abdulelah Alamri,KSA,DF,1.0,268.0,0,2,4,25,3,1,1,0.93,1.07,0,99,81,82,1,100,0,3,67,0,0,0,7,23,5,1,0,1,0,0,0,,,,30,4,2,24,15,15,2,2,15,212,5.67,252,89,25207.74,2.1533689074482587,0.6053774608815479,-0.6329142574359868,-0.3165844203330912,,0,Balanced Contributors,0.6337680948375698,19.5,,0.29581488203522865,0.7502566763478481
Abdulkerim Bardakci,TUR,DF,0.0,300.0,0,0,3,0,1,2,0,0.07,0.0,0,242,222,92,6,33,1,3,33,5,60,0,3,27,12,1,3,0,0,0,0,,,,25,2,1,22,11,14,1,2,24,516,6.08,258,93,30419.01,-0.384476944146554,2.924756110988771,0.1094682148317325,0.1147209072265971,,0,Balanced Contributors,0.8204457589619273,25.2,,0.6608786109768173,-0.7388853489661398
Abdulla Abdullaev,UZB,DF,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,72,65,90,0,0,1,1,100,0,0,0,7,22,7,5,1,0,0,0,0,,,,13,1,1,11,6,7,0,0,7,143,3.82,191,57,19761.96,-1.3243189297858935,-0.173029937979693,-0.3487529018822445,-1.4809116683501484,,0,Balanced Contributors,0.4066125398455155,12.5,,-0.6412461050154779,-0.34892691253061203
Abdullah Alhamddan,KSA,FW,0.0,88.0,0,2,2,0,1,1,0,0.2,0.0,0,22,16,73,1,0,1,2,50,0,0,0,5,62,5,2,0,0,0,0,0,,,,39,13,21,5,24,15,0,16,17,52,7.86,170,70,10726.97,-0.0967534950809563,-0.9836229913129492,-0.32537974291167,-0.4858597257568248,,0,Balanced Contributors,0.44884459098629,13.8,,-0.4256140007863608,0.21533786547791614
Abdullah Alkhaibari,KSA,MF,0.0,203.0,0,0,1,0,0,1,0,0.01,0.0,0,58,48,83,0,0,1,1,0,0,0,0,8,81,7,0,2,0,0,0,0,,,,46,1,15,30,33,13,0,7,30,133,7.08,345,76,23607.42,-1.0117652193910067,-1.1616339424968098,0.5394088009510888,0.1357496114139751,,0,Balanced Contributors,0.5236703120132999,16.1,,-0.2740322703275182,-0.20229891942359102
Abduvohid Nematov,UZB,GK,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,56,28,50,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,55.0,44.0,18,0,0,18,13,5,0,0,3,106,1.79,20,2,9231.32,-1.3243189297858935,-1.3603682787960163,-1.631956563153904,-2.343373660771636,0.842944793639639,-1,Goalkeeper,0.1368210429655191,4.2,30.1,-1.4424487598149285,0.057395691341941155
Achraf Hakimi,MAR,DF,1.0,650.0,2,4,14,7,6,8,0,0.96,1.04,21,449,402,90,38,32,11,7,86,6,83,0,19,93,30,7,16,1,0,0,0,,,,253,79,114,60,102,151,12,92,167,971,5.89,624,296,63750.68,7.28979546091251,8.505980413309121,5.183286153258925,10.624444198023063,,5,Elite All-Round Performers,2.651151674441409,81.5,,6.669074182458212,-0.026360912541185423
Achref Abada,ALG,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Adalberto Carrasquilla,PAN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Adam Arous,TUN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
