Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),PC1,PC2
Aaron Hickey,SCO,DF,0.0,79.0,0,0,0,0,0,0,0,0.0,0.0,0,42,38,90,1,0,0,1,100,0,0,0,1,16,5,2,4,1,0,0,0,,,,26,2,9,15,1,25,0,2,5,83,2.11,103,30,8361.39,-1.3243189297858935,-0.023297763363791982
Aaron Tshibola,COD,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Aaron Wan Bissaka,COD,DF,0.0,399.0,0,0,0,0,0,0,0,0.0,0.0,0,137,109,80,7,29,2,5,60,0,0,0,12,104,14,1,1,0,0,0,1,,,,141,58,48,35,39,102,5,19,54,287,6.07,460,194,40401.23,-1.3243189297858935,-0.023297763363791982
Abbosbek Fayzullaev,UZB,MF,1.0,240.0,0,2,3,33,2,1,1,1.0,1.0,5,36,24,67,9,22,1,2,50,1,100,0,17,137,27,6,4,0,0,0,0,,,,104,45,52,7,64,40,0,30,33,102,6.32,341,141,25301.81,2.3352517900546155,1.0388510415763381
Abdallah Alfakhori,JOR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Abdallah Nasib,JOR,DF,0.0,287.0,0,0,0,0,0,0,0,0.0,0.0,0,97,70,72,0,0,0,1,0,0,0,0,12,38,6,1,1,0,0,0,0,,,,29,0,2,27,1,28,0,1,13,190,5.62,269,86,26869.89,-1.3243189297858935,-0.023297763363791982
Abdoulaye Seck,SEN,DF,0.0,66.0,1,0,2,0,1,1,1,0.05,0.0,0,30,26,87,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,0,,,,7,0,0,7,3,4,0,2,7,66,1.38,51,16,6142.53,-0.05135221316096985,-0.5782313525404229
Abdukodir Khusanov,UZB,DF,0.0,311.0,0,0,0,0,0,0,0,0.0,0.0,0,98,81,83,0,0,0,1,0,1,100,0,11,23,8,6,0,2,0,0,0,,,,16,2,1,13,7,9,0,1,31,214,5.37,218,93,27912.88,-1.3243189297858935,-0.023297763363791982
Abdul Fatawu,GHA,FW,0.0,163.0,0,0,3,0,1,2,0,0.1,0.0,2,22,18,82,7,14,7,8,50,1,100,0,11,50,5,1,8,1,0,0,0,,,,45,19,23,3,4,41,3,24,38,90,6.21,211,93,16816.62,-0.23635789162433876,-0.5163136481803515
Abdul Mumin,GHA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Abdulaziz Hatem,QAT,MF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,32,26,81,0,0,0,2,50,0,0,0,1,20,0,1,0,0,0,0,0,,,,31,5,13,13,26,5,2,5,20,65,2.28,86,28,5826.99,-1.3243189297858935,-0.023297763363791982
