Rank,Player,Country,Position,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides
1,Neil El Aynaoui,MAR,MF,15,7,0,0,0,0
2,Andres Cubas,PAR,MF,14,3,1,0,0,0
3,Aleksandar Pavlovic,GER,MF,13,4,1,0,0,0
4,Nicolas Raskin,BEL,MF,12,3,0,0,0,0
4,Lamine Yamal,ESP,FW,12,8,0,0,0,7
6,Ricardo Rodriguez,SUI,DF,11,2,0,0,0,0
6,Ermedin Demirovic,BIH,FW,11,3,1,0,0,1
6,Adrien Rabiot,FRA,MF,11,3,1,0,0,1
9,Matias Galarza,PAR,MF,10,9,2,0,0,0
9,Richard Rios,COL,MF,10,4,1,0,0,0
11,Juan Jose Caceres,PAR,DF,9,6,1,0,0,0
11,Gustavo Puerta,COL,DF,9,8,1,0,0,0
11,Daniel Munoz,COL,DF,9,1,0,0,0,3
11,Rodri,ESP,MF,9,6,0,0,0,1
11,Alex Baena,ESP,MF,9,7,1,0,0,2
11,Breel Embolo,SUI,FW,9,11,2,1,1,4
11,Brandon Mechele,BEL,DF,9,2,1,0,0,0
11,Thomas Meunier,BEL,DF,9,0,0,0,0,0
19,Harry Kane,ENG,FW,8,8,0,0,0,2
19,Lautaro Martinez,ARG,FW,8,5,1,0,0,2
19,Carlos Harvey,PAN,DF,8,3,1,0,0,0
19,Chris Richards,USA,DF,8,3,1,0,0,0
19,Julian Alvarez,ARG,FW,8,2,0,0,0,2
19,Weston Mckennie,USA,MF,8,2,1,0,0,0
19,Samuel Moutoussamy,COD,MF,8,1,1,0,0,0
19,Behruzjon Karimov,UZB,DF,8,4,0,0,0,0
19,Harry Souttar,AUS,DF,8,1,1,0,0,0
19,Eldor Shomurodov,UZB,FW,8,4,0,0,0,1
19,Remo Freuler,SUI,MF,8,3,0,0,0,1
19,Ismael Saibari,MAR,MF,8,3,0,0,0,3
19,Luc De Fougerolles,CAN,DF,8,8,2,0,0,0
19,Richie Laryea,CAN,DF,8,13,1,0,0,1
19,Marawan Attia,EGY,MF,8,1,2,0,0,0
34,Franck Kessie,CIV,MF,7,2,1,0,0,1
34,Achraf Hakimi,MAR,DF,7,16,1,0,0,0
34,Jordan Ayew,GHA,FW,7,7,0,0,0,1
34,Martin Experience,HAI,DF,7,6,0,0,0,0
34,Caleb Yirenkyi,GHA,MF,7,3,2,0,0,0
34,Kwasi Sibo,GHA,MF,7,1,0,0,0,0
34,Rodrigo Bentancur,URU,MF,7,5,1,0,0,0
34,Cristian Romero,ARG,DF,7,2,0,0,0,0
34,Alan Franco,ECU,MF,7,0,2,0,0,0
34,Luis Suarez,COL,FW,7,8,1,0,0,1
34,Agustin Canobbio,URU,MF,7,5,0,1,0,1
34,Danilo,BRA,DF,7,1,2,0,0,1
34,Raul Jimenez,MEX,FW,7,2,0,0,0,2
34,Luis Diaz,COL,FW,7,9,0,0,0,9
34,Jesus Gallardo,MEX,DF,7,3,0,0,0,0
34,Petar Sucic,CRO,MF,7,6,1,0,0,1
34,David Moller Wolfe,NOR,DF,7,2,0,0,0,0
34,Timothy Castagne,BEL,DF,7,2,1,0,0,0
34,Stefan Posch,AUT,DF,7,3,2,0,0,0
34,Youri Tielemans,BEL,MF,7,10,0,0,0,1
34,Maxim De Cuyper,BEL,DF,7,2,1,0,0,0
34,Ezri Konsa,ENG,DF,7,11,0,0,0,0
34,Elliot Anderson,ENG,MF,7,9,0,0,0,0
34,Marc Cucurella,ESP,DF,7,2,1,0,0,3
34,Lucas Bergvall,SWE,MF,7,4,1,0,0,0
34,Pedro Porro,ESP,DF,7,6,0,0,0,0
34,Ivan Sunjic,BIH,MF,7,0,0,0,0,0
34,Lee Hanbeom,KOR,DF,7,3,0,0,0,0
34,Saeid Ezatolahi,IRN,MF,7,4,2,0,0,0
34,Jassem Gaber,QAT,DF,7,0,1,0,0,0
34,Hiroki Ito,JPN,DF,7,0,0,0,0,0
34,Nasser Aldawsari,KSA,MF,7,2,1,0,0,0
66,Ayase Ueda,JPN,FW,6,4,0,0,0,1
66,Ao Tanaka,JPN,MF,6,2,0,0,0,0
66,Ritsu Doan,JPN,MF,6,5,0,0,0,0
66,Rayan Ait Nouri,ALG,DF,6,4,0,0,0,0
66,Alexis Mac Allister,ARG,MF,6,9,0,0,0,0
66,Jefferson Lerma,COL,MF,6,5,1,0,0,0
66,Casemiro,BRA,MF,6,6,2,0,0,0
66,Enzo Fernandez,ARG,MF,6,4,0,0,0,1
66,Davinson Sanchez,COL,DF,6,5,1,0,0,1
66,Juninho Bacuna,CUW,MF,6,3,2,0,0,0
66,Guela Doue,CIV,DF,6,5,1,0,0,0
66,Antoine Semenyo,GHA,MF,6,4,0,0,0,4
66,Yasser Ibrahim,EGY,DF,6,3,2,0,0,0
66,Ricardo Ade,HAI,DF,6,4,0,0,0,0
66,Marvin Senaya,GHA,DF,6,4,0,0,0,0
66,Lenny Joseph,HAI,FW,6,1,0,0,0,0
66,Mostafa Zico,EGY,MF,6,5,0,0,0,2
66,Ruben Vargas,SUI,FW,6,6,0,0,0,2
66,Amar Dedic,BIH,DF,6,3,1,0,0,0
66,Robin Hranac,CZE,DF,6,0,0,0,0,0
66,Abbosbek Fayzullaev,UZB,MF,6,4,0,0,0,0
66,Ladislav Krejci,CZE,DF,6,2,1,0,0,0
66,Sead Kolasinac,BIH,DF,6,4,0,0,0,0
66,Abdukodir Khusanov,UZB,DF,6,0,2,0,0,0
66,Xaver Schlager,AUT,MF,6,0,0,0,0,0
66,Jude Bellingham,ENG,MF,6,12,1,0,0,1
66,Frenkie De Jong,NED,MF,6,6,0,0,0,0
66,Nico Oreilly,ENG,DF,6,4,1,0,0,0
66,Alexander Sorloth,NOR,FW,6,2,0,0,0,2
66,Julian Ryerson,NOR,FW,6,1,0,0,0,0
66,Manu Kone,FRA,MF,6,7,1,0,0,0
66,Nathan Ngoy,BEL,DF,6,1,0,1,0,0
66,Ruben Dias,POR,DF,6,3,1,0,0,0
66,Kylian Mbappe,FRA,FW,6,9,1,0,0,5
66,Joao Cancelo,POR,DF,6,2,0,0,0,1
66,Konrad Laimer,AUT,MF,6,3,1,0,0,3
66,Denzel Dumfries,NED,DF,6,3,0,0,0,1
66,Jules Kounde,FRA,DF,6,5,0,0,0,1
66,Sander Berge,NOR,MF,6,2,0,0,0,0
66,Dayot Upamecano,FRA,DF,6,4,0,0,0,0
66,Ante Budimir,CRO,FW,6,4,0,0,0,0
107,Renato Veiga,POR,DF,5,3,2,0,0,0
107,Lucas Digne,FRA,DF,5,2,0,0,0,0
107,Marcus Rashford,ENG,FW,5,1,0,0,0,1
107,Jonathan Tah,GER,DF,5,1,0,0,0,0
107,Jamal Musiala,GER,MF,5,11,1,0,0,0
107,Ryan Gravenberch,NED,MF,5,3,0,0,0,0
107,Micky Van De Ven,NED,DF,5,1,1,0,0,0
107,Erling Haaland,NOR,FW,5,3,0,0,0,0
107,Fredrik Aursnes,NOR,MF,5,3,0,0,0,0
107,Nikola Vlasic,CRO,MF,5,0,0,0,0,2
107,Tarik Muharemovic,BIH,DF,5,2,0,1,0,0
107,Takehiro Tomiyasu,JPN,DF,5,2,0,0,0,0
107,Mohamed Kanno,KSA,MF,5,0,1,0,0,0
107,Yoane Wissa,COD,FW,5,9,0,0,0,1
107,Edo Kayembe,COD,MF,5,3,0,0,0,0
107,Nizar Alrashdan,JOR,MF,5,4,0,0,0,0
107,Jose Cordoba,PAN,DF,5,1,0,0,0,0
107,Rayan,BRA,FW,5,4,0,0,0,1
107,Jhon Lucumi,COL,DF,5,0,1,0,0,0
107,Edson Alvarez,MEX,DF,5,2,1,0,0,0
107,Moises Caicedo,ECU,MF,5,4,1,0,0,0
107,Lisandro Martinez,ARG,DF,5,4,0,0,0,0
107,Ricardo Pepi,USA,FW,5,2,0,0,0,2
107,Julian Quinones,MEX,FW,5,7,0,0,0,1
107,Jorge Sanchez,MEX,DF,5,1,1,0,0,1
107,Brian Gutierrez,MEX,MF,5,3,1,0,0,0
107,Cristian Martinez,PAN,MF,5,5,0,0,0,1
107,Sebastian Berhalter,USA,MF,5,7,1,0,0,0
107,Piero Hincapie,ECU,DF,5,4,1,1,0,0
107,Jhon Arias,COL,MF,5,2,1,0,0,0
107,Diego Gomez,PAR,MF,5,1,2,0,0,0
107,Tyler Adams,USA,MF,5,6,1,0,0,0
107,Gonzalo Plata,ECU,FW,5,4,1,0,0,0
107,Alessandro Circati,AUS,DF,5,4,1,0,0,0
107,Gabriel Gudmundsson,SWE,DF,5,7,1,0,0,0
107,Djibril Sow,SUI,MF,5,4,0,0,0,0
107,Zeki Amdouni,SUI,FW,5,4,0,0,0,0
107,Mikel Merino,ESP,MF,5,5,0,0,0,0
107,Abdulla Abdullaev,UZB,DF,5,1,0,0,0,0
107,Ferran Torres,ESP,FW,5,2,1,0,0,2
107,Nico Elvedi,SUI,DF,5,6,1,0,0,0
107,Dan Ndoye,SUI,FW,5,16,0,0,0,4
107,Lawrence Shankland,SCO,FW,5,3,0,0,0,1
107,Dani Olmo,ESP,FW,5,8,0,0,0,0
107,Lewis Ferguson,SCO,MF,5,10,0,0,0,0
107,Mohamed Salah,EGY,FW,5,13,0,0,0,1
107,Niko Sigur,CAN,DF,5,1,1,0,0,0
107,Sphephelo Sithole,RSA,MF,5,1,0,1,0,0
107,Jonathan David,CAN,FW,5,5,1,0,0,0
107,Tajon Buchanan,CAN,FW,5,8,0,0,0,2
107,Carlens Arcus,HAI,DF,5,3,1,0,0,2
107,Mohanad Lashin,EGY,MF,5,3,2,0,0,0
107,Cyle Larin,CAN,FW,5,1,2,0,0,3
107,Soufiane Rahimi,MAR,FW,5,6,0,0,0,2
107,Tani Oluwaseyi,CAN,FW,5,5,0,0,0,1
107,Danley Jean Jacques,HAI,MF,5,3,1,0,0,0
107,Nathan Saliba,CAN,MF,5,2,1,0,0,0
107,Alistair Johnston,CAN,DF,5,4,1,0,0,0
107,Kevin Pina,CPV,MF,5,3,1,0,0,0
107,Frantzdy Pierrot,HAI,FW,5,4,1,0,0,2
107,Bilal El Khannouss,MAR,MF,5,5,1,0,0,0
107,Lamine Camara,SEN,MF,5,3,1,0,0,0
169,Ali Abdi,TUN,DF,4,2,0,0,0,0
169,Jean Ricner Bellegarde,HAI,MF,4,5,1,0,0,0
169,Thapelo Maseko,RSA,FW,4,10,0,0,0,0
169,Derek Cornelius,CAN,DF,4,3,1,0,0,0
169,Krepin Diatta,SEN,DF,4,6,0,0,0,0
169,Pape Gueye,SEN,MF,4,2,1,0,0,0
