Rank,Player,Country,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%)
1,Rodri,ESP,MF,694,648,93,3,0,1,16,94,5,80
2,Aymeric Laporte,ESP,DF,568,533,94,0,0,0,10,60,7,100
3,Pau Cubarsi,ESP,DF,566,547,97,1,0,0,6,67,1,100
4,Leandro Paredes,ARG,MF,521,496,95,2,50,1,5,60,6,100
5,Enzo Fernandez,ARG,MF,483,448,93,5,40,5,20,75,8,88
6,Manuel Akanji,SUI,DF,479,444,93,0,0,0,8,88,8,100
7,Granit Xhaka,SUI,MF,470,427,91,4,0,2,15,47,8,100
8,Marc Guehi,ENG,DF,455,442,97,0,0,2,8,88,4,75
9,Achraf Hakimi,MAR,DF,449,402,90,38,32,11,7,86,6,83
10,Ezri Konsa,ENG,DF,440,423,96,3,0,1,3,100,3,67
11,Nico Elvedi,SUI,DF,438,406,93,0,0,3,2,50,5,100
12,Elliot Anderson,ENG,MF,434,385,89,6,50,1,17,71,10,90
13,Neil El Aynaoui,MAR,MF,433,405,94,0,0,1,3,0,3,67
14,Gabriel Magalhaes,BRA,DF,431,413,96,0,0,0,2,50,2,100
15,Dayot Upamecano,FRA,DF,429,396,92,0,0,2,6,67,4,100
16,Sander Berge,NOR,MF,425,412,97,2,0,1,4,75,2,100
17,Lisandro Martinez,ARG,DF,424,401,95,3,0,2,9,67,1,100
18,Pedri,ESP,MF,410,364,89,14,36,2,14,71,2,100
19,Vitinha,POR,MF,403,379,94,0,0,2,7,71,11,100
20,Alexis Mac Allister,ARG,MF,400,368,92,1,0,1,2,0,3,100
21,Brandon Mechele,BEL,DF,399,369,92,0,0,1,4,50,2,100
22,Marc Cucurella,ESP,DF,389,358,92,13,23,1,12,50,2,100
22,Cristian Romero,ARG,DF,389,378,97,0,0,3,1,0,0,0
24,Ramy Bensebaini,ALG,DF,385,359,93,0,0,1,8,38,1,100
25,Aissa Mandi,ALG,DF,382,357,93,0,0,0,5,20,10,90
26,Marquinhos,BRA,DF,380,367,97,1,100,0,4,75,6,100
27,Jonathan Tah,GER,DF,375,364,97,1,0,1,3,100,1,100
28,Joshua Kimmich,GER,DF,368,336,91,25,20,1,9,56,2,100
29,Martin Odegaard,NOR,MF,367,322,88,16,19,3,18,56,0,0
30,Davinson Sanchez,COL,DF,361,324,90,0,0,1,10,20,6,100
31,Jan Paul Van Hecke,NED,DF,360,335,93,1,0,1,5,60,4,75
31,Michael Olise,FRA,FW,360,311,86,20,25,16,26,73,2,100
33,Marawan Attia,EGY,MF,357,313,88,8,38,0,15,47,8,100
34,Jules Kounde,FRA,DF,349,310,89,15,13,0,7,43,0,0
35,Virgil Van Dijk,NED,DF,347,330,95,0,0,1,1,100,1,100
36,Renato Veiga,POR,DF,336,320,95,0,0,1,4,50,1,100
37,Lionel Messi,ARG,FW,332,261,79,41,41,22,32,63,5,80
38,Issa Diop,MAR,DF,326,299,92,0,0,0,3,0,1,100
39,Remo Freuler,SUI,MF,324,299,92,5,20,0,7,71,2,0
40,William Saliba,FRA,DF,315,307,97,0,0,1,1,0,2,100
40,Azzedine Ounahi,MAR,MF,315,281,89,6,33,8,17,65,3,100
42,Adrien Rabiot,FRA,MF,311,286,92,2,0,2,11,73,1,100
43,Pedro Porro,ESP,DF,305,274,90,16,31,3,12,33,7,100
44,Torbjorn Heggem,NOR,DF,301,282,94,0,0,1,4,25,0,0
45,Rodrigo De Paul,ARG,MF,298,274,92,12,42,2,9,67,1,100
45,Tim Ream,USA,DF,298,281,94,0,0,2,6,33,5,100
47,Pedro Vite,ECU,MF,297,269,91,7,43,1,9,56,2,100
48,Moises Caicedo,ECU,MF,295,264,89,16,44,0,13,54,3,100
48,Ricardo Rodriguez,SUI,DF,295,243,82,17,18,1,24,33,4,50
50,Danilo,BRA,DF,294,262,89,7,29,1,6,50,1,100
51,Chris Richards,USA,DF,291,277,95,0,0,0,2,0,2,100
52,Gustavo Puerta,COL,DF,290,264,91,2,0,4,4,50,3,67
52,Moussa Niakhate,SEN,DF,290,271,93,2,50,0,1,100,4,75
54,Jhon Lucumi,COL,DF,285,262,92,0,0,1,6,17,12,100
55,Alex Freeman,USA,DF,283,256,90,4,0,13,9,67,4,75
55,Krepin Diatta,SEN,DF,283,255,90,10,40,6,4,75,1,100
57,Mohamed Hany,EGY,DF,282,245,87,17,24,4,9,56,1,100
57,Nuno Mendes,POR,DF,282,239,85,21,29,8,17,53,4,100
59,Stephen Eustaquio,CAN,MF,281,244,87,42,38,2,15,60,3,100
60,Ime Okon,RSA,DF,280,257,92,0,0,0,2,50,2,50
60,Nabil Bentaleb,ALG,MF,280,255,91,1,0,0,3,67,1,0
62,Bruno Fernandes,POR,MF,278,239,86,22,23,3,20,65,10,90
63,Noussair Mazraoui,MAR,DF,275,251,91,4,0,5,5,40,0,0
63,Douglas Santos,BRA,DF,275,256,93,6,17,0,5,60,0,0
65,Jefferson Lerma,COL,MF,274,242,88,2,50,1,2,0,1,100
66,Kristoffer Ajer,NOR,DF,273,256,94,2,100,3,1,100,0,0
67,Florian Wirtz,GER,MF,271,223,82,12,42,14,15,67,2,100
68,Idrissa Gana Gueye,SEN,MF,270,243,90,1,0,0,8,63,5,100
69,Unai Simon,ESP,GK,269,219,81,0,0,0,3,33,2,100
70,Ousmane Dembele,FRA,FW,268,214,80,35,17,9,26,62,6,83
71,Josip Sutalo,CRO,DF,267,241,90,0,0,3,4,0,7,71
71,Lucas Digne,FRA,DF,267,237,89,16,6,0,8,50,1,100
73,Jordan Pickford,ENG,GK,265,190,72,0,0,0,12,42,3,33
74,Ayyoub Bouaddi,MAR,MF,264,237,90,0,0,6,1,100,1,100
75,Timothy Castagne,BEL,DF,263,230,87,20,35,1,8,75,2,50
75,Manu Kone,FRA,MF,263,242,92,1,0,2,3,100,2,50
77,Joao Neves,POR,MF,261,247,95,2,50,3,9,56,3,67
78,Aleksandar Pavlovic,GER,MF,260,240,92,1,0,1,1,0,1,100
78,Yasser Ibrahim,EGY,DF,260,239,92,0,0,2,1,0,1,100
80,Youri Tielemans,BEL,MF,255,221,87,14,21,3,10,50,5,60
80,Gregor Kobel,SUI,GK,255,190,75,0,0,0,6,0,2,50
82,Aurelien Tchouameni,FRA,MF,254,239,94,2,0,0,1,100,2,100
83,Ruben Dias,POR,DF,249,233,94,0,0,1,6,33,1,100
83,Nahuel Molina,ARG,DF,249,215,86,6,0,1,5,40,1,100
85,Declan Rice,ENG,MF,248,225,91,36,33,2,10,50,4,75
85,Luka Modric,CRO,MF,248,225,91,9,44,2,9,44,2,100
87,Antonio Ruediger,GER,DF,246,230,93,1,0,0,4,25,0,0
87,Maxim De Cuyper,BEL,DF,246,203,83,16,25,3,9,44,2,100
87,Fabian Ruiz,ESP,MF,246,220,89,7,29,0,11,64,3,100
90,Ramy Rabia,EGY,DF,244,224,92,0,0,0,2,50,8,50
90,Fares Chaibi,ALG,MF,244,220,90,7,0,3,10,50,3,100
92,Frenkie De Jong,NED,MF,243,224,92,0,0,1,5,80,2,100
93,Abdulkerim Bardakci,TUR,DF,242,222,92,6,33,1,3,33,5,60
94,Alistair Johnston,CAN,DF,240,184,77,24,25,3,17,53,2,100
94,Jhon Arias,COL,MF,240,227,95,6,17,6,7,71,3,100
96,Willian Pacho,ECU,DF,238,217,91,0,0,1,2,0,0,0
96,Bilal El Khannouss,MAR,MF,238,186,78,14,14,6,23,65,2,100
98,Ronwen Williams,RSA,GK,237,179,76,0,0,0,7,29,3,67
98,James Rodriguez,COL,MF,237,199,84,17,29,2,14,50,9,67
98,Johan Vasquez,MEX,DF,237,221,93,0,0,0,4,50,1,100
101,Lee Gihyuk,KOR,MF,236,217,92,4,0,1,3,0,4,100
102,Tyler Adams,USA,MF,231,211,91,0,0,0,6,67,1,100
103,Nicolas Raskin,BEL,MF,230,197,86,8,38,0,8,0,1,100
104,Mathias Olivera,URU,DF,226,213,94,3,0,1,6,50,3,100
104,Kim Minjae,KOR,DF,226,221,98,0,0,1,0,0,0,0
104,Chadi Riad,MAR,DF,226,212,94,0,0,1,1,0,1,100
107,Casemiro,BRA,MF,224,200,89,4,25,1,8,50,4,100
108,David Alaba,AUT,DF,222,198,89,1,0,0,5,80,1,0
109,Jude Bellingham,ENG,MF,221,185,84,9,11,12,20,45,5,100
109,Antonee Robinson,USA,DF,221,181,82,18,22,10,13,46,2,50
109,Alessandro Circati,AUS,DF,221,177,80,1,0,1,10,60,4,75
112,Weston Mckennie,USA,MF,220,173,79,11,27,6,27,74,4,75
113,Nathan Ngoy,BEL,DF,219,205,94,0,0,0,4,25,4,100
114,Hwang Inbeom,KOR,MF,218,193,89,3,67,1,5,80,2,100
115,Nico Oreilly,ENG,DF,216,200,93,6,50,4,6,67,2,100
116,Daniel Munoz,COL,DF,213,194,91,9,22,0,5,20,0,0
116,Mbekezeli Mbokazi,RSA,DF,213,185,87,2,0,2,7,57,3,67
118,Lamine Yamal,ESP,FW,212,181,85,35,20,30,32,72,3,100
119,Yassine Bounou,MAR,GK,211,142,67,0,0,0,9,0,0,0
