Rank,Player,Country,Position,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
1,Giovanni Reyna,USA,MF,8.06,315,71,19203.54
2,Alexandr Sojka,CZE,MF,8.04,321,108,19628.07
3,Abdullah Alhamddan,KSA,FW,7.86,170,70,10726.97
4,Jesse Randall,NZL,FW,7.8,113,69,9324.27
5,Mikel Merino,ESP,MF,7.75,442,107,24908.08
6,Benjamin Nygren,SWE,MF,7.73,282,104,18972.62
7,Aleksandar Pavlovic,GER,MF,7.64,597,165,38018.1
8,Jacob Shaffelburg,CAN,MF,7.63,202,106,15826.53
9,Ryan Christie,SCO,MF,7.62,208,53,14260.28
10,Musab Aljuwayr,KSA,MF,7.55,326,85,20967.44
11,Mert Muldur,TUR,DF,7.5,145,57,15133.29
12,Rani Khedira,TUN,MF,7.49,218,49,18577.38
13,Jackson Irvine,AUS,MF,7.47,495,125,31483.15
14,Noor Alrawabdeh,JOR,MF,7.46,635,142,38422
15,Mostafa Zico,EGY,MF,7.41,726,225,49154.47
16,Ryan Thomas,NZL,MF,7.4,216,78,13002.61
17,Paul Okon Engstler,AUS,MF,7.39,365,108,25987.7
18,Mahmoud Almardi,JOR,FW,7.38,328,87,18861.43
19,Pedri,ESP,MF,7.37,847,254,59490.08
20,Sebastian Berhalter,USA,MF,7.36,443,111,28137.58
21,Kenny Mclean,SCO,MF,7.3,188,56,16438.49
22,Timothy Castagne,BEL,DF,7.29,844,335,65175.17
23,Ali Azaizeh,JOR,FW,7.27,129,40,9229.12
24,Soufiane Rahimi,MAR,FW,7.27,317,137,25328.44
25,Ngalayel Mukau,COD,MF,7.25,383,105,26619.43
26,Sarpreet Singh,NZL,MF,7.24,381,118,27406.52
27,Callum Mccowatt,NZL,MF,7.24,334,110,20963.57
28,Ricardo Pepi,USA,FW,7.21,366,148,27870.91
29,Samuel Moutoussamy,COD,MF,7.17,613,169,42992.72
30,Anis Slimane,TUN,MF,7.16,408,123,30657.94
31,Michal Sadilek,CZE,MF,7.16,385,125,24212.55
32,Bruno Guimaraes,BRA,MF,7.16,739,158,54744.12
33,Lewis Ferguson,SCO,MF,7.16,451,119,36575.01
